variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_1012	2.97E-01	1.99E-07	2.25E-01	2.24E-01	1.84E-01	9.81E-02	
group_953	2.97E-01	3.52E-01	6.35E-01	3.56E-02	7.48E-02	3.84E-02	
group_557	2.97E-01	1.99E-07	2.25E-01	2.24E-01	1.84E-01	9.81E-02	
group_1285	2.84E-01	4.74E-02	8.50E-02	-1.31E-01	7.58E-02	1.39E-01	
group_917	2.84E-01	9.30E-01	9.99E-03	-4.25E-01	1.63E-01	2.06E-01	
purR_1~~~purR_2	2.84E-01	9.30E-01	9.99E-03	-4.25E-01	1.63E-01	2.06E-01	
group_765	2.84E-01	9.30E-01	9.99E-03	-4.25E-01	1.63E-01	2.06E-01	
group_509	2.84E-01	9.30E-01	9.99E-03	-4.25E-01	1.63E-01	2.06E-01	
group_508	2.84E-01	9.30E-01	9.99E-03	-4.25E-01	1.63E-01	2.06E-01	
amyA	2.84E-01	9.30E-01	9.99E-03	-4.25E-01	1.63E-01	2.06E-01	
malZ	2.84E-01	9.30E-01	9.99E-03	-4.25E-01	1.63E-01	2.06E-01	
group_1342	2.77E-01	8.21E-01	2.82E-01	-8.57E-02	7.93E-02	8.70E-02	
group_1173	2.77E-01	2.08E-02	1.26E-02	-1.88E-01	7.46E-02	2.00E-01	
group_1192	2.71E-01	3.35E-01	2.71E-02	-1.70E-01	7.60E-02	1.78E-01	
group_954	2.71E-01	5.86E-01	8.39E-02	-1.38E-01	7.92E-02	1.39E-01	
arp4	2.65E-01	3.27E-03	7.10E-01	-6.19E-02	1.66E-01	3.01E-02	
group_672	2.65E-01	2.54E-05	6.23E-01	9.07E-02	1.84E-01	3.98E-02	
group_1175	2.58E-01	1.78E-06	2.19E-01	2.12E-01	1.72E-01	9.92E-02	
sel26	2.58E-01	8.65E-04	5.98E-03	-2.14E-01	7.69E-02	2.20E-01	
group_949	2.58E-01	8.75E-05	7.19E-01	3.25E-02	9.01E-02	2.91E-02	
group_500	2.58E-01	1.78E-06	4.29E-01	1.25E-01	1.57E-01	6.40E-02	
group_496	2.58E-01	8.65E-04	5.98E-03	-2.14E-01	7.69E-02	2.20E-01	
group_72	2.58E-01	4.41E-01	3.85E-02	-1.60E-01	7.66E-02	1.66E-01	
group_56	2.58E-01	4.03E-02	5.96E-01	-4.20E-02	7.90E-02	4.29E-02	
group_2177	2.52E-01	5.36E-01	7.28E-01	-2.83E-02	8.13E-02	2.81E-02	
group_2028	2.52E-01	5.36E-01	7.28E-01	-2.83E-02	8.13E-02	2.81E-02	
group_1988	2.52E-01	8.09E-01	1.46E-01	1.13E-01	7.73E-02	1.17E-01	
group_1543	2.52E-01	5.36E-01	7.28E-01	-2.83E-02	8.13E-02	2.81E-02	
group_1244	2.52E-01	5.36E-01	7.28E-01	-2.83E-02	8.13E-02	2.81E-02	
ddl	2.52E-01	8.69E-08	3.30E-01	1.76E-01	1.80E-01	7.87E-02	
group_423	2.52E-01	8.69E-08	3.30E-01	1.76E-01	1.80E-01	7.87E-02	
asnS_2~~~asnS_1	2.52E-01	8.69E-08	3.30E-01	1.76E-01	1.80E-01	7.87E-02	
group_1257	2.45E-01	1.50E-01	6.03E-01	-4.26E-02	8.17E-02	4.21E-02	
group_1582	2.39E-01	3.64E-01	3.86E-01	6.92E-02	7.97E-02	7.01E-02	
mccF	2.39E-01	1.74E-07	7.04E-01	6.51E-02	1.71E-01	3.08E-02	
group_428	2.39E-01	2.41E-03	1.53E-01	-1.76E-01	1.23E-01	1.15E-01	
group_66	2.39E-01	3.64E-01	9.88E-01	-1.20E-03	7.72E-02	1.25E-03	
group_1563	2.32E-01	3.01E-04	6.97E-01	7.10E-02	1.82E-01	3.16E-02	
group_1360	2.32E-01	1.00E-02	7.35E-01	-2.74E-02	8.06E-02	2.75E-02	
group_1326	2.32E-01	6.84E-06	7.01E-01	6.15E-02	1.60E-01	3.10E-02	
group_1303	2.32E-01	9.07E-02	9.41E-01	-5.99E-03	8.11E-02	5.97E-03	
group_1277	2.32E-01	9.07E-02	9.41E-01	-5.99E-03	8.11E-02	5.97E-03	
group_1082	2.32E-01	9.07E-02	9.41E-01	-5.99E-03	8.11E-02	5.97E-03	
uvrB_2	2.32E-01	9.07E-02	9.41E-01	-5.99E-03	8.11E-02	5.97E-03	
group_918	2.32E-01	6.33E-03	1.77E-01	-1.86E-01	1.38E-01	1.09E-01	
group_869	2.32E-01	1.51E-03	3.82E-01	-1.19E-01	1.36E-01	7.08E-02	
group_665	2.32E-01	9.07E-02	9.41E-01	-5.99E-03	8.11E-02	5.97E-03	
group_499	2.32E-01	3.01E-04	6.97E-01	7.10E-02	1.82E-01	3.16E-02	
group_479	2.32E-01	2.11E-01	7.21E-01	-2.85E-02	7.95E-02	2.89E-02	
group_140	2.32E-01	3.01E-04	6.97E-01	7.10E-02	1.82E-01	3.16E-02	
group_139	2.32E-01	3.01E-04	6.97E-01	7.10E-02	1.82E-01	3.16E-02	
group_2186	2.19E-01	2.92E-01	9.29E-01	7.19E-03	8.06E-02	7.21E-03	
group_1189	2.19E-01	9.25E-05	4.09E-01	1.34E-01	1.62E-01	6.67E-02	
group_1115	2.19E-01	9.25E-05	4.09E-01	1.34E-01	1.62E-01	6.67E-02	
group_1108	2.19E-01	9.82E-02	2.89E-01	1.12E-01	1.05E-01	8.58E-02	
group_602	2.19E-01	2.64E-03	9.22E-01	-9.36E-03	9.49E-02	7.98E-03	
group_198	2.19E-01	1.30E-05	3.71E-01	1.26E-01	1.40E-01	7.24E-02	
group_55	2.19E-01	2.64E-03	9.22E-01	-9.36E-03	9.49E-02	7.98E-03	
group_1448	2.13E-01	1.59E-01	5.14E-01	5.35E-02	8.17E-02	5.28E-02	
group_805	2.13E-01	1.59E-01	5.14E-01	5.35E-02	8.17E-02	5.28E-02	
group_2191	2.06E-01	2.54E-02	2.94E-01	-9.00E-02	8.54E-02	8.49E-02	
group_2183	2.06E-01	7.61E-02	9.32E-01	6.91E-03	8.11E-02	6.88E-03	
group_2165	2.06E-01	7.61E-02	9.32E-01	6.91E-03	8.11E-02	6.88E-03	
group_1993	2.06E-01	7.61E-02	9.32E-01	6.91E-03	8.11E-02	6.88E-03	
group_1982	2.06E-01	7.61E-02	9.32E-01	6.91E-03	8.11E-02	6.88E-03	
group_1743	2.06E-01	7.61E-02	9.32E-01	6.91E-03	8.11E-02	6.88E-03	
group_1655	2.06E-01	7.61E-02	9.32E-01	6.91E-03	8.11E-02	6.88E-03	
group_1219	2.06E-01	7.61E-02	9.32E-01	6.91E-03	8.11E-02	6.88E-03	
group_1210	2.06E-01	1.69E-04	4.52E-01	1.24E-01	1.65E-01	6.08E-02	
group_1154	2.06E-01	9.65E-04	7.25E-01	-4.64E-02	1.31E-01	2.85E-02	
group_1136	2.06E-01	1.69E-04	4.52E-01	1.24E-01	1.65E-01	6.08E-02	
group_1059	2.06E-01	1.69E-04	4.52E-01	1.24E-01	1.65E-01	6.08E-02	
group_1050	2.06E-01	2.41E-05	1.53E-01	2.31E-01	1.61E-01	1.15E-01	
group_857	2.06E-01	1.69E-04	4.52E-01	1.24E-01	1.65E-01	6.08E-02	
group_794	2.06E-01	3.20E-01	1.81E-01	-1.77E-01	1.32E-01	1.08E-01	
group_521	2.06E-01	7.61E-02	9.32E-01	6.91E-03	8.11E-02	6.88E-03	
