variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_2159-group_2091-group_1278	5.42E-01	4.53E-08	1.38E-03	-3.01E-01	9.23E-02	2.55E-01	
group_1160-group_2091-group_1278	6.45E-02	2.70E-01	2.74E-01	-2.41E-01	2.20E-01	8.84E-02	bad-chisq
group_2074-group_1836-group_2123	1.94E-02	8.66E-02	4.13E-01	2.29E-01	2.80E-01	6.61E-02	bad-chisq
group_2123-group_1836-group_2036	3.23E-02	4.13E-01	7.80E-01	-8.90E-02	3.18E-01	2.26E-02	bad-chisq
group_1854-group_462-group_1308	2.58E-02	9.82E-01	8.04E-02	-4.86E-01	2.76E-01	1.41E-01	bad-chisq
group_722-group_462-group_1308	8.39E-02	2.22E-01	3.72E-01	1.51E-01	1.69E-01	7.22E-02	
group_2155-group_1902-group_1021	6.45E-02	5.28E-02	3.13E-01	1.77E-01	1.75E-01	8.15E-02	bad-chisq
group_1021-group_1902-group_1130	2.58E-02	9.82E-01	1.89E-01	3.51E-01	2.66E-01	1.06E-01	bad-chisq
group_2056-group_1675-group_846	1.29E-01	4.53E-03	8.95E-01	2.85E-02	2.16E-01	1.07E-02	
group_845-group_1675-group_846	5.16E-02	8.53E-02	4.91E-01	1.42E-01	2.06E-01	5.57E-02	bad-chisq
group_1244-group_1543-group_250	4.52E-02	2.02E-06	4.37E-01	1.82E-01	2.34E-01	6.29E-02	bad-chisq
group_1244-group_1543-group_440	2.06E-01	7.61E-02	5.15E-01	-5.58E-02	8.56E-02	5.27E-02	
group_2028-group_2177-group_1954	1.81E-01	4.42E-03	2.60E-01	-1.03E-01	9.07E-02	9.10E-02	bad-chisq
group_2028-group_2177-group_465	7.10E-02	1.09E-07	1.49E-01	2.58E-01	1.77E-01	1.17E-01	bad-chisq
group_1718-group_1748-group_2072	5.81E-02	5.26E-01	5.05E-01	1.17E-01	1.75E-01	5.40E-02	
group_1718-group_1748-group_2151	5.81E-02	3.35E-01	9.79E-01	3.19E-03	1.22E-01	2.12E-03	bad-chisq
group_551-group_1533-group_949	4.52E-02	4.00E-02	1.47E-01	2.50E-01	1.71E-01	1.17E-01	bad-chisq
group_551-group_1533-group_1259	1.29E-02	4.17E-01	3.54E-01	-3.80E-01	4.08E-01	7.50E-02	bad-chisq
group_1907-group_1467-group_811	1.29E-02	4.17E-01	1.91E-01	-3.93E-01	2.99E-01	1.06E-01	bad-chisq
group_811-group_1467-group_913	3.16E-01	2.26E-01	7.28E-01	2.50E-02	7.17E-02	2.81E-02	
group_1582-group_397-group_674	2.39E-01	3.64E-01	3.86E-01	6.92E-02	7.97E-02	7.01E-02	
group_1589-group_397-group_674	9.03E-02	3.51E-01	1.88E-01	-1.67E-01	1.26E-01	1.06E-01	
group_1732-group_1637-noc	1.94E-02	3.19E-01	1.04E-02	-7.23E-01	2.79E-01	2.05E-01	bad-chisq
group_63-group_1637-group_201	1.94E-02	3.19E-01	1.35E-02	-5.52E-01	2.21E-01	1.98E-01	bad-chisq
group_201-group_1637-group_398	1.94E-02	7.20E-01	9.33E-01	2.65E-02	3.17E-01	6.77E-03	bad-chisq
group_398-group_1637-noc	5.81E-02	5.26E-01	4.03E-01	1.10E-01	1.31E-01	6.77E-02	
noc-group_1637-group_1192	1.61E-01	1.86E-03	7.36E-02	-1.65E-01	9.17E-02	1.44E-01	bad-chisq
group_1192-group_1637-group_1290	2.58E-02	2.48E-01	8.43E-02	-4.46E-01	2.57E-01	1.39E-01	bad-chisq
group_2112-group_2007-group_1275	5.16E-02	3.46E-07	2.54E-01	2.41E-01	2.11E-01	9.22E-02	bad-chisq
group_1936-group_2007-group_1785	1.94E-02	3.19E-01	1.33E-01	-4.82E-01	3.19E-01	1.21E-01	bad-chisq
sel26_3~~~sel26~~~sel26_1-group_1555-group_1284	5.16E-02	4.17E-01	5.78E-01	-1.89E-01	3.40E-01	4.50E-02	bad-chisq
group_1024-group_1555-group_1284	5.81E-02	5.83E-08	1.29E-01	5.35E-01	3.51E-01	1.22E-01	bad-chisq
group_2056-group_2047-group_1198	1.29E-01	4.53E-03	8.95E-01	2.85E-02	2.16E-01	1.07E-02	
group_1198-group_2047-group_1199	1.29E-02	3.99E-01	9.32E-01	3.48E-02	4.08E-01	6.90E-03	bad-chisq
group_2047-group_1198-group_2139	1.29E-02	3.99E-01	9.32E-01	3.48E-02	4.08E-01	6.90E-03	bad-chisq
group_2047-group_1198-group_1044	1.29E-01	4.53E-03	8.95E-01	2.85E-02	2.16E-01	1.07E-02	
group_1797-group_1436-group_142	3.87E-02	6.48E-01	3.87E-01	-2.40E-01	2.77E-01	7.00E-02	bad-chisq
group_1797-group_1436-group_161	5.81E-02	5.83E-08	1.29E-01	5.35E-01	3.51E-01	1.22E-01	bad-chisq
ssb_3~~~ssb_4-group_2011-group_1317	5.81E-02	5.83E-08	1.29E-01	5.35E-01	3.51E-01	1.22E-01	bad-chisq
ssb_3~~~ssb_4-group_2011-group_1323	1.29E-02	1.25E-02	1.10E-01	5.33E-01	3.32E-01	1.29E-01	bad-chisq
regX_2-scnA_1-scnA_2	2.58E-02	3.77E-04	6.77E-01	9.16E-02	2.19E-01	3.37E-02	bad-chisq
regX_2-scnA_1-group_2146	1.29E-02	1.25E-02	7.98E-01	6.89E-02	2.69E-01	2.07E-02	bad-chisq
scnA_2-group_2146-group_132	3.23E-02	6.65E-05	6.10E-01	1.10E-01	2.15E-01	4.13E-02	bad-chisq
scnA_1-group_2146-group_132	1.29E-02	1.25E-02	7.98E-01	6.89E-02	2.69E-01	2.07E-02	bad-chisq
group_1574-group_2156-group_891	1.29E-02	4.17E-01	2.67E-02	-7.50E-01	3.35E-01	1.78E-01	bad-chisq
group_1574-group_2156-group_1294	1.94E-02	7.20E-01	6.51E-01	1.16E-01	2.57E-01	3.66E-02	bad-chisq
group_2156-group_1574-group_2046	3.87E-02	6.09E-01	5.59E-01	-1.35E-01	2.30E-01	4.73E-02	bad-chisq
group_2156-group_1574-group_616	1.29E-02	4.17E-01	2.67E-02	-7.50E-01	3.35E-01	1.78E-01	bad-chisq
group_66-group_2186-group_949	1.29E-02	1.25E-02	1.10E-01	5.33E-01	3.32E-01	1.29E-01	bad-chisq
group_66-group_2186-group_1282	2.00E-01	3.18E-02	3.44E-01	-7.89E-02	8.31E-02	7.66E-02	
group_1344-group_1981-group_1350	2.58E-02	9.82E-01	2.47E-01	-3.68E-01	3.17E-01	9.35E-02	bad-chisq
group_470-group_2099-group_1277	2.58E-02	9.82E-01	2.47E-01	-3.68E-01	3.17E-01	9.35E-02	bad-chisq
group_62-group_1678-group_1280	1.94E-02	7.20E-01	4.60E-01	1.55E-01	2.09E-01	5.98E-02	bad-chisq
sel26-group_496-group_2205	2.58E-02	2.48E-01	2.59E-02	-4.18E-01	1.86E-01	1.79E-01	bad-chisq
sel26-group_496-group_551	1.29E-02	4.17E-01	3.54E-01	-3.80E-01	4.08E-01	7.50E-02	bad-chisq
sel26-group_496-group_1257	2.19E-01	4.25E-03	7.79E-02	-1.51E-01	8.48E-02	1.42E-01	
group_496-sel26-group_2175	2.58E-02	2.48E-01	2.59E-02	-4.18E-01	1.86E-01	1.79E-01	bad-chisq
group_496-sel26-group_808	2.32E-01	2.54E-03	5.39E-02	-1.62E-01	8.33E-02	1.55E-01	
group_1558-group_2009-group_374	2.58E-02	2.48E-01	5.25E-02	-4.17E-01	2.13E-01	1.56E-01	bad-chisq
group_1558-group_2009-group_683	3.23E-02	4.13E-01	6.39E-01	1.02E-01	2.16E-01	3.80E-02	bad-chisq
group_2094-group_2020-group_1274	1.29E-02	1.25E-02	1.09E-01	5.55E-01	3.45E-01	1.29E-01	bad-chisq
group_897-group_2020-group_1274	1.29E-02	1.25E-02	1.84E-04	8.98E-01	2.34E-01	2.96E-01	bad-chisq
group_2021-group_1948-group_473	2.58E-02	2.48E-01	3.66E-01	-1.68E-01	1.85E-01	7.31E-02	bad-chisq
group_2021-group_1948-group_933	4.52E-02	7.99E-01	3.96E-01	1.21E-01	1.42E-01	6.87E-02	bad-chisq
satA-group_1107-group_313	2.58E-02	9.82E-01	1.88E-01	-3.19E-01	2.42E-01	1.06E-01	bad-chisq
group_1158-group_2205-group_1259	1.29E-02	1.25E-02	1.87E-01	4.25E-01	3.21E-01	1.06E-01	bad-chisq
group_496-group_2205-group_949	2.58E-02	2.48E-01	2.59E-02	-4.18E-01	1.86E-01	1.79E-01	bad-chisq
group_308-group_2205-group_949	3.87E-02	6.48E-01	6.21E-01	7.37E-02	1.49E-01	4.00E-02	bad-chisq
group_2205-group_1158-group_1493	1.29E-02	1.25E-02	1.87E-01	4.25E-01	3.21E-01	1.06E-01	bad-chisq
group_1493-group_1158-group_551	1.94E-02	3.19E-01	4.44E-01	-2.89E-01	3.76E-01	6.19E-02	bad-chisq
group_1960-group_185-group_169	3.87E-02	6.48E-01	6.26E-01	-1.76E-01	3.61E-01	3.94E-02	bad-chisq
group_169-group_185-group_1258	1.94E-02	7.20E-01	6.70E-01	-1.68E-01	3.93E-01	3.45E-02	bad-chisq
group_1955-group_1774-group_1730	7.74E-02	5.10E-01	4.82E-01	1.51E-01	2.14E-01	5.69E-02	
group_1913-group_1995-group_1730	7.74E-02	5.10E-01	4.82E-01	1.51E-01	2.14E-01	5.69E-02	
group_1836-group_2036-group_2130	3.23E-02	4.13E-01	7.80E-01	-8.90E-02	3.18E-01	2.26E-02	bad-chisq
group_2042-group_2167-group_1504	3.23E-02	1.95E-01	1.80E-02	-6.65E-01	2.78E-01	1.90E-01	bad-chisq
sel26_3~~~sel26~~~sel26_1-group_2167-group_946	5.81E-02	8.69E-01	8.84E-01	3.99E-02	2.74E-01	1.18E-02	
clbS_1-group_1495-group_1295	1.94E-02	3.19E-01	4.44E-01	-2.89E-01	3.76E-01	6.19E-02	bad-chisq
group_1656-clbS_2-rlmD_1~~~rlmD_2	4.52E-02	1.23E-01	1.66E-02	-6.33E-01	2.61E-01	1.92E-01	bad-chisq
group_1589-group_1723-noc	8.39E-02	4.24E-01	2.40E-01	-1.50E-01	1.27E-01	9.49E-02	
group_2125-group_1551-group_1122	1.29E-02	4.17E-01	5.72E-01	-1.79E-01	3.16E-01	4.58E-02	bad-chisq
group_2125-group_1551-group_1360	2.58E-02	9.82E-01	4.35E-01	1.72E-01	2.20E-01	6.31E-02	bad-chisq
group_2117-group_2116-group_846	6.45E-02	6.24E-02	1.47E-02	-5.35E-01	2.17E-01	1.96E-01	bad-chisq
group_2117-group_1616-group_457	6.45E-02	6.24E-02	1.47E-02	-5.35E-01	2.17E-01	1.96E-01	bad-chisq
group_1604-group_1623-group_1032	1.94E-02	3.19E-01	1.95E-01	-3.37E-01	2.59E-01	1.05E-01	bad-chisq
group_428-group_1846-group_891	2.58E-02	2.30E-01	6.45E-01	-1.14E-01	2.47E-01	3.73E-02	bad-chisq
group_440-group_1846-group_891	1.29E-02	4.17E-01	3.54E-01	-3.80E-01	4.08E-01	7.50E-02	bad-chisq
group_1840-group_1757-group_863	2.58E-02	9.82E-01	8.88E-01	-3.30E-02	2.33E-01	1.14E-02	bad-chisq
group_863-group_1757-group_1940	1.94E-02	3.19E-01	1.35E-02	-5.52E-01	2.21E-01	1.98E-01	bad-chisq
recX-group_458-group_231	1.29E-02	3.99E-01	7.53E-01	1.07E-01	3.41E-01	2.54E-02	bad-chisq
group_1479-group_1374-speC	1.29E-02	3.99E-01	7.52E-01	1.05E-01	3.33E-01	2.56E-02	bad-chisq
group_1535-ermA1-group_333	1.94E-02	3.19E-01	1.95E-01	-4.15E-01	3.19E-01	1.05E-01	bad-chisq
group_1623-group_1604-group_1619	1.94E-02	3.19E-01	1.95E-01	-3.37E-01	2.59E-01	1.05E-01	bad-chisq
group_1619-group_1604-group_595	1.29E-02	4.17E-01	3.44E-01	-2.70E-01	2.85E-01	7.66E-02	bad-chisq
group_1576-group_1409-group_386	4.52E-02	1.23E-01	6.80E-03	-5.98E-01	2.18E-01	2.17E-01	bad-chisq
group_1576-group_1409-group_1343	1.94E-02	3.19E-01	1.95E-01	-4.15E-01	3.19E-01	1.05E-01	bad-chisq
group_2162-group_1225-group_616	1.29E-02	4.17E-01	3.54E-01	-3.80E-01	4.08E-01	7.50E-02	bad-chisq
group_1497-group_1384-group_790	2.58E-02	2.48E-01	5.25E-02	-4.17E-01	2.13E-01	1.56E-01	bad-chisq
btuD_2-group_1384-group_790	1.29E-02	4.17E-01	3.54E-01	-3.80E-01	4.08E-01	7.50E-02	bad-chisq
group_952-group_51-group_1283	5.68E-01	1.29E-05	9.43E-01	9.90E-03	1.38E-01	5.78E-03	
group_951-group_51-group_1061	1.29E-02	4.17E-01	2.47E-02	-7.70E-01	3.39E-01	1.80E-01	bad-chisq
group_1061-group_51-group_1283	4.52E-02	1.23E-01	1.66E-02	-6.33E-01	2.61E-01	1.92E-01	bad-chisq
group_1692-group_52-group_602	7.10E-02	9.40E-02	4.45E-01	2.00E-01	2.61E-01	6.18E-02	
group_602-group_52-group_1168	4.52E-02	2.02E-06	4.37E-01	1.82E-01	2.34E-01	6.29E-02	bad-chisq
group_602-group_52-group_1209	5.16E-02	9.74E-01	5.65E-01	7.87E-02	1.37E-01	4.66E-02	
group_476-group_55-group_602	1.03E-01	7.16E-07	3.55E-02	3.24E-01	1.53E-01	1.69E-01	
group_602-group_55-group_1028	8.39E-02	4.24E-01	7.28E-01	-3.75E-02	1.08E-01	2.82E-02	
group_2191-group_56-group_953	2.06E-01	2.54E-02	2.94E-01	-9.00E-02	8.54E-02	8.49E-02	
group_949-group_56-group_953	1.29E-02	3.99E-01	3.79E-01	2.69E-01	3.05E-01	7.12E-02	bad-chisq
group_953-group_56-group_959	2.58E-02	9.82E-01	1.89E-01	3.51E-01	2.66E-01	1.06E-01	bad-chisq
group_953-group_56-group_1259	1.29E-02	4.17E-01	3.54E-01	-3.80E-01	4.08E-01	7.50E-02	bad-chisq
group_1895-group_57-group_1259	7.10E-02	3.43E-01	1.40E-01	-3.85E-01	2.60E-01	1.19E-01	
group_1895-group_57-group_1265	1.29E-02	4.17E-01	2.47E-02	-7.70E-01	3.39E-01	1.80E-01	bad-chisq
group_1895-group_57-group_1282	3.29E-01	9.76E-03	6.30E-01	-3.94E-02	8.17E-02	3.90E-02	
group_953-group_57-group_1266	1.29E-02	4.17E-01	3.54E-01	-3.80E-01	4.08E-01	7.50E-02	bad-chisq
group_953-group_57-group_1282	1.29E-02	1.25E-02	1.84E-04	8.98E-01	2.34E-01	2.96E-01	bad-chisq
group_65-group_58-group_959	1.94E-02	3.19E-01	1.04E-02	-7.23E-01	2.79E-01	2.05E-01	bad-chisq
group_959-group_58-group_1060	1.29E-02	4.17E-01	2.67E-02	-7.50E-01	3.35E-01	1.78E-01	bad-chisq
group_2041-group_59-group_1294	9.03E-02	9.44E-02	7.06E-01	-9.10E-02	2.41E-01	3.05E-02	
group_2041-group_59-group_1340	7.10E-02	2.17E-01	1.12E-01	-3.07E-01	1.92E-01	1.28E-01	bad-chisq
group_1294-group_61-lexA	1.10E-01	9.06E-02	9.71E-01	6.60E-03	1.83E-01	2.92E-03	
group_1678-group_62-group_1254	1.29E-02	4.17E-01	6.69E-01	-1.06E-01	2.46E-01	3.46E-02	bad-chisq
group_833-group_62-group_1254	3.23E-02	1.95E-01	3.87E-01	-1.37E-01	1.58E-01	6.99E-02	bad-chisq
group_954-group_62-group_955	1.29E-02	4.17E-01	3.54E-01	-3.80E-01	4.08E-01	7.50E-02	bad-chisq
group_954-group_62-group_1254	1.81E-01	8.64E-04	6.36E-02	-1.68E-01	8.97E-02	1.49E-01	bad-chisq
group_1599-group_63-group_274	1.94E-02	3.19E-01	5.06E-01	-1.35E-01	2.03E-01	5.39E-02	bad-chisq
group_1599-group_63-group_1122	2.71E-01	2.61E-02	4.93E-01	5.66E-02	8.23E-02	5.55E-02	
group_1637-group_63-group_1317	1.94E-02	3.19E-01	1.35E-02	-5.52E-01	2.21E-01	1.98E-01	bad-chisq
group_1274-group_63-group_1323	6.45E-02	2.70E-01	2.74E-01	-2.41E-01	2.20E-01	8.84E-02	bad-chisq
group_2186-group_66-group_957	1.68E-01	7.24E-03	1.35E-01	-1.34E-01	8.93E-02	1.21E-01	bad-chisq
group_2186-group_66-group_479	4.52E-02	4.00E-02	1.00E-01	2.69E-01	1.63E-01	1.33E-01	bad-chisq
group_957-group_66-group_959	1.94E-02	8.66E-02	6.06E-02	4.65E-01	2.46E-01	1.51E-01	bad-chisq
group_1798-group_72-group_1192	1.81E-01	8.64E-04	3.14E-02	-1.90E-01	8.74E-02	1.73E-01	bad-chisq
group_1996-group_72-group_1192	1.29E-02	4.17E-01	2.67E-02	-7.50E-01	3.35E-01	1.78E-01	bad-chisq
group_1192-group_72-group_1263	5.16E-02	2.12E-05	7.42E-01	6.97E-02	2.11E-01	2.66E-02	bad-chisq
group_2196-group_75-group_951	1.94E-02	7.20E-01	6.70E-01	-1.68E-01	3.93E-01	3.45E-02	bad-chisq
group_2196-group_75-group_1283	1.29E-02	1.25E-02	7.45E-02	6.09E-01	3.39E-01	1.44E-01	bad-chisq
group_478-group_76-group_961	9.03E-02	2.87E-04	1.51E-01	-2.26E-01	1.57E-01	1.16E-01	
group_478-group_76-group_1332	7.10E-02	3.43E-01	5.32E-01	7.48E-02	1.19E-01	5.06E-02	
group_703-group_82-group_1108	2.58E-02	2.30E-01	2.22E-02	5.13E-01	2.22E-01	1.84E-01	bad-chisq
group_1866-group_109-leuS	3.23E-02	8.11E-01	6.18E-01	1.14E-01	2.27E-01	4.03E-02	bad-chisq
group_1864-group_109-leuS	1.29E-02	1.25E-02	9.93E-02	6.33E-01	3.82E-01	1.33E-01	bad-chisq
group_1881-group_109-leuS	1.29E-02	4.17E-01	3.54E-01	-3.80E-01	4.08E-01	7.50E-02	bad-chisq
leuS-group_109-group_966	6.45E-02	9.64E-09	4.64E-02	5.66E-01	2.82E-01	1.60E-01	bad-chisq
leuS-group_109-group_967	3.23E-02	8.11E-01	5.29E-01	-1.63E-01	2.58E-01	5.10E-02	bad-chisq
leuS-group_109-group_969	2.58E-02	1.74E-02	1.92E-01	3.54E-01	2.70E-01	1.05E-01	bad-chisq
leuS-group_109-group_970	1.29E-02	4.17E-01	3.68E-01	-2.99E-01	3.30E-01	7.29E-02	bad-chisq
leuS-group_109-group_972	2.58E-02	2.48E-01	8.33E-02	-3.92E-01	2.25E-01	1.40E-01	bad-chisq
leuS-group_109-group_1211	7.55E-01	1.64E-04	8.96E-01	-2.08E-02	1.59E-01	1.06E-02	
rpsD-slmA-group_971	9.10E-01	7.12E-01	4.27E-02	-3.60E-01	1.76E-01	1.63E-01	
group_1913-slmA-group_971	8.39E-02	9.00E-01	9.95E-02	3.12E-01	1.88E-01	1.33E-01	
group_1464-group_120-glgP~~~malP	7.61E-01	2.41E-03	1.53E-01	1.76E-01	1.23E-01	1.15E-01	
group_428-group_120-glgP~~~malP	2.00E-01	8.82E-05	8.61E-01	1.92E-02	1.10E-01	1.42E-02	
rplS-gph_2-gyrB	9.61E-01	1.39E-01	2.44E-01	-2.56E-01	2.19E-01	9.41E-02	bad-chisq
gyrB-gph_2-group_2192	1.94E-02	7.20E-01	6.30E-01	-1.94E-01	4.01E-01	3.90E-02	bad-chisq
group_70-btuD_2-group_1384	1.29E-02	4.17E-01	3.54E-01	-3.80E-01	4.08E-01	7.50E-02	bad-chisq
group_70-btuD_2-IntTn	1.94E-02	3.19E-01	2.45E-02	-6.18E-01	2.72E-01	1.81E-01	bad-chisq
group_142-group_161-group_1436	5.81E-02	5.83E-08	1.29E-01	5.35E-01	3.51E-01	1.22E-01	bad-chisq
group_142-group_161-seq~~~seq_1~~~seq_3~~~seq_2	8.13E-01	2.08E-05	1.84E-01	-2.10E-01	1.58E-01	1.07E-01	
group_1768-glgX-group_724	9.74E-01	2.48E-01	1.85E-01	3.96E-01	2.97E-01	1.07E-01	bad-chisq
group_724-glgX-group_979	1.29E-02	4.17E-01	3.50E-01	-2.85E-01	3.04E-01	7.56E-02	bad-chisq
hslO-group_174-group_27	7.74E-02	1.50E-01	8.09E-01	-8.54E-02	3.52E-01	1.96E-02	
hslO-group_174-group_74	1.94E-02	3.19E-01	4.44E-01	-2.89E-01	3.76E-01	6.19E-02	bad-chisq
hslO-group_174-group_1157	2.90E-01	9.72E-02	5.49E-01	-4.19E-02	6.97E-02	4.85E-02	
group_1312-group_186-celB_2~~~chbC	3.81E-01	9.17E-06	8.87E-01	3.25E-02	2.30E-01	1.15E-02	
group_514-group_186-celB_2~~~chbC	5.61E-01	2.02E-05	7.11E-01	5.40E-02	1.45E-01	3.00E-02	
group_269-speC_1~~~seq_2-group_395	1.94E-01	7.60E-01	7.84E-01	-2.85E-02	1.04E-01	2.21E-02	
group_269-speC_1~~~seq_2-group_2052	5.16E-02	3.46E-07	2.07E-01	2.65E-01	2.10E-01	1.02E-01	bad-chisq
group_395-speC_1~~~seq_2-group_688	7.23E-01	4.20E-04	7.95E-01	-2.70E-02	1.04E-01	2.11E-02	
group_466-seq_2~~~seq_1-speH~~~seq_2	5.68E-01	3.08E-04	4.63E-01	8.09E-02	1.10E-01	5.93E-02	
speH~~~seq_2-seq_2~~~seq_1-group_1282	4.52E-02	2.02E-06	4.37E-01	1.82E-01	2.34E-01	6.29E-02	bad-chisq
obgE-group_196-group_606	4.52E-02	4.00E-02	8.12E-01	4.79E-02	2.01E-01	1.92E-02	bad-chisq
obgE-group_196-group_1359	2.58E-02	1.74E-02	2.27E-01	3.26E-01	2.68E-01	9.77E-02	bad-chisq
obgE-group_196-group_608	2.58E-02	2.48E-01	2.69E-01	-3.89E-01	3.50E-01	8.93E-02	bad-chisq
group_310-group_198-group_559	1.94E-02	3.19E-01	4.44E-01	-2.89E-01	3.76E-01	6.19E-02	bad-chisq
group_310-group_198-group_1051	9.03E-02	3.07E-01	1.15E-01	-2.71E-01	1.71E-01	1.27E-01	
group_1637-group_201-group_982	4.52E-02	7.99E-01	5.46E-01	-1.00E-01	1.65E-01	4.88E-02	bad-chisq
group_759-group_201-group_982	5.35E-01	2.15E-05	8.52E-01	-2.14E-02	1.14E-01	1.51E-02	
group_323-group_203-group_243	6.45E-02	7.31E-01	2.38E-01	-2.98E-01	2.51E-01	9.53E-02	
group_323-group_203-icaA~~~pgaC~~~arnC	9.16E-01	2.22E-01	6.75E-01	-8.72E-02	2.07E-01	3.40E-02	
group_330-group_205-group_516	6.45E-02	6.77E-01	6.73E-01	-8.94E-02	2.11E-01	3.42E-02	
group_330-group_205-group_704	8.71E-01	6.49E-06	3.60E-01	-1.42E-01	1.55E-01	7.40E-02	
dltD-group_218-group_509	2.84E-01	9.30E-01	9.99E-03	-4.25E-01	1.63E-01	2.06E-01	
dltD-group_218-group_984	6.32E-01	5.16E-02	9.30E-01	-9.09E-03	1.03E-01	7.15E-03	
dltD-group_218-group_1097	4.52E-02	1.17E-04	2.09E-03	4.66E-01	1.49E-01	2.45E-01	bad-chisq
dhaK_2-group_235-group_990	3.87E-02	1.39E-01	7.32E-01	8.43E-02	2.46E-01	2.77E-02	bad-chisq
group_708-group_235-group_990	9.61E-01	1.39E-01	7.32E-01	-8.43E-02	2.46E-01	2.77E-02	bad-chisq
tgt-group_236-perR	2.58E-02	1.74E-02	3.17E-01	2.83E-01	2.82E-01	8.09E-02	bad-chisq
tgt-group_236-group_608	5.81E-02	5.26E-01	9.56E-01	-7.84E-03	1.40E-01	4.51E-03	
tgt-group_236-group_606	5.16E-02	4.17E-01	5.40E-01	-1.06E-01	1.73E-01	4.96E-02	bad-chisq
group_203-group_243-recF	6.45E-02	7.31E-01	2.38E-01	-2.98E-01	2.51E-01	9.53E-02	
recF-group_243-galU_1~~~galU_2	8.97E-01	5.71E-01	2.69E-01	1.49E-01	1.35E-01	8.92E-02	
rfbB-group_250-group_1918	1.94E-02	8.66E-02	4.13E-01	2.29E-01	2.80E-01	6.61E-02	bad-chisq
rfbB-group_250-group_1543	4.52E-02	2.02E-06	4.37E-01	1.82E-01	2.34E-01	6.29E-02	bad-chisq
rfbB-group_250-group_925	3.23E-02	4.13E-01	7.80E-01	-8.90E-02	3.18E-01	2.26E-02	bad-chisq
rfbB-group_250-group_1400	3.87E-02	1.55E-01	6.30E-02	-4.69E-01	2.51E-01	1.50E-01	bad-chisq
rfbB-group_250-group_324	5.61E-01	2.02E-05	6.46E-01	6.62E-02	1.44E-01	3.71E-02	
isdF-isdE~~~btuF-group_6	1.94E-02	8.66E-02	4.34E-01	2.23E-01	2.84E-01	6.33E-02	bad-chisq
group_6-isdE~~~btuF-isdE	9.74E-01	1.74E-02	2.34E-01	-2.91E-01	2.44E-01	9.61E-02	bad-chisq
group_1380-group_254-group_1412	3.87E-02	6.48E-01	1.29E-01	-3.37E-01	2.21E-01	1.22E-01	bad-chisq
group_1380-group_254-ide	9.10E-01	3.51E-01	9.97E-02	3.20E-01	1.93E-01	1.33E-01	
manA-gmuE-group_17	6.45E-02	9.64E-09	4.35E-02	6.43E-01	3.16E-01	1.62E-01	bad-chisq
manA-gmuE-group_995	9.29E-01	1.56E-09	1.09E-03	-7.82E-01	2.35E-01	2.60E-01	bad-chisq
group_769-group_270-mtnN	5.94E-01	1.82E-06	5.00E-01	-2.20E-01	3.25E-01	5.45E-02	
group_769-group_270-group_791	4.06E-01	1.82E-06	5.00E-01	2.20E-01	3.25E-01	5.45E-02	
group_63-group_274-group_996	1.94E-02	3.19E-01	5.06E-01	-1.35E-01	2.03E-01	5.39E-02	bad-chisq
group_996-group_274-group_1317	1.94E-02	7.20E-01	1.25E-01	3.68E-01	2.39E-01	1.24E-01	bad-chisq
group_996-group_274-group_1360	1.61E-01	9.22E-03	3.63E-01	-8.02E-02	8.79E-02	7.36E-02	bad-chisq
whiA-group_281-group_1743	7.10E-02	3.43E-01	4.83E-02	2.25E-01	1.13E-01	1.59E-01	
whiA-group_281-group_1515	3.55E-01	3.49E-03	5.82E-01	-4.68E-02	8.48E-02	4.46E-02	
group_906-recF-group_243	9.68E-01	8.11E-01	7.76E-01	4.72E-02	1.66E-01	2.30E-02	bad-chisq
group_906-recF-galU_1~~~galU_2	3.23E-02	8.11E-01	7.76E-01	-4.72E-02	1.66E-01	2.30E-02	bad-chisq
fakB2_2-group_293-group_1894	1.29E-02	3.99E-01	6.90E-01	1.15E-01	2.88E-01	3.23E-02	bad-chisq
fakB2_2-group_293-group_441	9.87E-01	3.99E-01	6.90E-01	-1.15E-01	2.88E-01	3.23E-02	bad-chisq
group_2205-group_308-group_1108	3.87E-02	6.48E-01	6.21E-01	7.37E-02	1.49E-01	4.00E-02	bad-chisq
group_551-group_308-group_1108	1.94E-02	2.15E-03	6.12E-02	5.18E-01	2.75E-01	1.51E-01	bad-chisq
group_921-group_308-group_1108	3.87E-02	1.55E-01	5.27E-02	-4.86E-01	2.49E-01	1.56E-01	bad-chisq
group_1108-group_308-group_1259	8.39E-02	2.22E-01	3.73E-01	-2.55E-01	2.85E-01	7.21E-02	
group_250-group_324-lexA	5.48E-01	4.77E-05	5.48E-01	7.62E-02	1.27E-01	4.86E-02	
group_428-group_324-lexA	4.52E-02	2.02E-06	4.37E-01	1.82E-01	2.34E-01	6.29E-02	bad-chisq
group_440-group_324-lexA	3.23E-02	4.13E-01	8.81E-01	3.25E-02	2.17E-01	1.21E-02	bad-chisq
group_338-group_1972-nisB	7.61E-01	6.20E-11	8.36E-03	-4.73E-01	1.77E-01	2.11E-01	
group_338-group_1972-group_1004	1.10E-01	9.06E-02	7.22E-01	-8.36E-02	2.35E-01	2.88E-02	
group_1528-group_385-group_794	1.29E-02	4.17E-01	3.54E-01	-3.80E-01	4.08E-01	7.50E-02	bad-chisq
