variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_367-group_1464-group_808	7.74E-02	5.10E-01	2.69E-01	-2.00E-01	1.80E-01	8.94E-02	
group_367-group_1464-group_900	1.48E-01	1.12E-05	9.69E-01	6.10E-03	1.57E-01	3.14E-03	
group_262-group_1457-yidA_3	9.74E-01	2.48E-01	2.69E-01	3.89E-01	3.50E-01	8.93E-02	bad-chisq
yidA_3-group_1457-lacD_1~~~lacD_2	2.58E-02	2.48E-01	2.69E-01	-3.89E-01	3.50E-01	8.93E-02	bad-chisq
nusA-rimP-group_2106	5.42E-01	1.35E-02	1.89E-01	1.08E-01	8.21E-02	1.06E-01	
nusA-rimP-trmB	3.87E-01	1.48E-03	7.07E-01	-3.88E-02	1.03E-01	3.05E-02	
group_452-group_416-group_2195	4.39E-01	1.67E-01	4.68E-01	5.91E-02	8.13E-02	5.87E-02	
group_452-group_416-group_2087	1.61E-01	1.86E-03	8.59E-02	-1.60E-01	9.25E-02	1.38E-01	bad-chisq
group_2195-group_2087-group_1852	4.39E-01	1.67E-01	4.68E-01	5.91E-02	8.13E-02	5.87E-02	
group_1852-group_2087-group_416	1.61E-01	1.86E-03	8.59E-02	-1.60E-01	9.25E-02	1.38E-01	bad-chisq
group_463-group_2070-group_1130	6.06E-01	5.46E-04	8.56E-01	-1.93E-02	1.06E-01	1.47E-02	
group_941-group_2070-group_1130	2.58E-02	9.82E-01	8.04E-02	-4.86E-01	2.76E-01	1.41E-01	bad-chisq
group_533-trmB-group_1112	5.74E-01	3.15E-03	3.27E-01	9.08E-02	9.23E-02	7.93E-02	
group_1112-trmB-rimP	3.87E-01	1.48E-03	7.07E-01	-3.88E-02	1.03E-01	3.05E-02	
group_1500-gatC-gatA	9.55E-01	2.48E-01	8.69E-01	-4.25E-02	2.57E-01	1.34E-02	bad-chisq
group_816-gatC-gatA	4.52E-02	2.48E-01	8.69E-01	4.25E-02	2.57E-01	1.34E-02	bad-chisq
gatC-group_1500-codY	9.55E-01	2.48E-01	8.69E-01	-4.25E-02	2.57E-01	1.34E-02	bad-chisq
codY-group_1500-group_816	4.52E-02	2.48E-01	8.69E-01	4.25E-02	2.57E-01	1.34E-02	bad-chisq
group_993-isdF-isdE~~~btuF	2.58E-02	1.74E-02	2.34E-01	2.91E-01	2.44E-01	9.61E-02	bad-chisq
group_993-isdF-isdE	9.74E-01	1.74E-02	2.34E-01	-2.91E-01	2.44E-01	9.61E-02	bad-chisq
group_1901-rpsD-slmA	8.00E-01	5.13E-01	6.89E-01	-6.96E-02	1.73E-01	3.25E-02	
group_1901-rpsD-group_810	8.39E-02	9.00E-01	3.81E-01	1.76E-01	2.01E-01	7.09E-02	
group_2147-group_1813-group_732	1.29E-02	3.99E-01	9.32E-01	3.48E-02	4.08E-01	6.90E-03	bad-chisq
nudL-group_1813-group_732	9.87E-01	3.99E-01	9.32E-01	-3.48E-02	4.08E-01	6.90E-03	bad-chisq
argS-argR_1-group_625	3.10E-01	1.18E-02	9.74E-01	6.30E-03	1.90E-01	2.68E-03	
argS-argR_1-mutS	6.84E-01	1.62E-02	8.72E-01	2.68E-02	1.67E-01	1.30E-02	
group_1525-recX-rlmD_1	9.87E-01	3.99E-01	7.53E-01	-1.07E-01	3.41E-01	2.54E-02	bad-chisq
group_1525-recX-group_458	1.29E-02	3.99E-01	7.53E-01	1.07E-01	3.41E-01	2.54E-02	bad-chisq
recX-rlmD_1-group_260	9.87E-01	3.99E-01	7.53E-01	-1.07E-01	3.41E-01	2.54E-02	bad-chisq
group_260-rlmD_1-group_1276	1.29E-02	3.99E-01	7.53E-01	1.07E-01	3.41E-01	2.54E-02	bad-chisq
